Word,Count
the,61
to,47
she,46
and,40
it,40
was,38
a,32
of,30
i,25
down,21
alice,20
her,19
in,18
but,16
that,16
very,14
as,12
had,12
you,12
think,11
for,10
there,9
not,9
out,9
how,9
or,9
at,8
do,8
rabbit,8
all,8
time,8
this,7
up,7
no,7
so,7
be,7
see,7
on,7
were,7
what,7
with,7
me,6
would,6
s,6
ll,6
one,6
get,6
about,6
way,6
when,6
thought,6
like,5
either,5
herself,5
little,5
dinah,5
shall,5
they,5
could,5
say,5
eat,5
nothing,5
well,5
went,5
suddenly,5
by,5
wonder,5
upon,4
again,4
if,4
my,4
never,4
into,4
cats,4
then,4
looked,4
before,4
much,4
t,4
bats,4
moment,4
fall,4
hall,4
through,4
oh,4
here,3
hole,3
found,3
just,3
key,3
dark,3
dear,3
getting,3
did,3
door,3
fell,3
off,3
from,3
over,3
passage,3
pictures,3
right,3
things,3
too,3
tried,3
after,3
even,3
ever,3
began,3
which,3
is,3
book,3
came,3
cupboards,2
great,2
corner,2
jar,2
once,2
gutenberg,2
conversations,2
low,2
made,2
many,2
pocket,2
put,2
considering,2
ran,2
rather,2
good,2
round,2
late,2
saw,2
come,2
saying,2
close,2
seen,2
first,2
anything,2
shelves,2
sister,2
sleepy,2
small,2
feet,2
hear,2
sort,2
still,2
behind,2
begun,2
falling,2
head,2
them,2
bat,2
large,2
have,2
might,2
long,2
ask,2
those,2
any,2
another,2
thump,2
an,2
among,2
miles,2
took,2
mind,2
somewhere,2
longitude,2
hand,2
use,2
ve,2
air,2
waistcoat,2
earth,2
watch,2
adventures,2
across,2
golden,2
know,2
doors,2
look,2
latitude,2
white,2
wish,2
didn,2
without,2
deep,2
wonderland,2
noticed,2
turned,2
hope,1
hot,1
house,1
hung,1
hurried,1
hurrying,1
hurt,1
idea,1
ignorant,1
impossible,1
inches,1
indeed,1
its,1
itself,1
jumped,1
killing,1
knelt,1
knew,1
knowledge,1
labelled,1
lamps,1
larger,1
lately,1
learnt,1
leaves,1
led,1
legged,1
lessons,1
let,1
lewis,1
likely,1
listen,1
listening,1
lit,1
lock,1
locked,1
locks,1
longed,1
longer,1
however,1
loveliest,1
actually,1
m,1
ma,1
afraid,1
make,1
making,1
manage,1
managed,1
afterwards,1
maps,1
marmalade,1
matter,1
alas,1
mice,1
middle,1
along,1
aloud,1
milk,1
am,1
miss,1
answer,1
mouse,1
antipathies,1
must,1
are,1
name,1
natural,1
near,1
asking,1
new,1
next,1
nice,1
night,1
australia,1
nor,1
away,1
bank,1
beds,1
now,1
occurred,1
been,1
begin,1
beginning,1
belong,1
bit,1
brave,1
only,1
open,1
opened,1
opportunity,1
bright,1
orange,1
org,1
other,1
ought,1
lost,1
burning,1
overhead,1
own,1
carroll,1
passed,1
past,1
peeped,1
pegs,1
people,1
perhaps,1
picking,1
cat,1
pink,1
please,1
pleasure,1
plenty,1
catch,1
poor,1
pop,1
practice,1
presently,1
project,1
centre,1
question,1
quite,1
chain,1
coming,1
rat,1
rate,1
cool,1
re,1
reading,1
really,1
remarkable,1
remember,1
couldn,1
roof,1
country,1
row,1
curiosity,1
sadly,1
said,1
saucer,1
curtain,1
curtsey,1
curtseying,1
schoolroom,1
second,1
daisies,1
seem,1
seemed,1
daisy,1
several,1
day,1
delight,1
dipped,1
should,1
shoulders,1
showing,1
shut,1
side,1
sides,1
sight,1
disappointment,1
sitting,1
distance,1
slowly,1
doorway,1
downward,1
solid,1
some,1
somebody,1
sometimes,1
dozing,1
soon,1
dream,1
sound,1
spoke,1
stairs,1
started,1
sticks,1
dreamy,1
stopping,1
straight,1
stupid,1
such,1
drop,1
dry,1
table,1
take,1
talking,1
tea,1
telescope,1
tell,1
than,1
earnestly,1
ears,1
their,1
ebook,1
else,1
empty,1
end,1
every,1
except,1
eyes,1
fallen,1
though,1
fancy,1
thousand,1
three,1
fear,1
feel,1
felt,1
tiny,1
tired,1
few,1
field,1
fifteen,1
top,1
filled,1
trouble,1
true,1
truth,1
trying,1
tumbling,1
tunnel,1
fitted,1
twice,1
under,1
underneath,1
flashed,1
flowers,1
fortunately,1
fountains,1
four,1
funny,1
walk,1
walked,1
walking,1
wander,1
garden,1
girl,1
glad,1
glass,1
go,1
going,1
got,1
grand,1
whether,1
hanging,1
whiskers,1
happen,1
why,1
wind,1
happened,1
having,1
heads,1
heap,1
wondered,1
wondering,1
hedge,1
word,1
words,1
world,1
worth,1
high,1
wouldn,1
written,1
www,1
yes,1
home,1
zealand,1
