Word,Count
a,32
about,6
across,2
actually,1
adventures,2
afraid,1
after,3
afterwards,1
again,4
air,2
alas,1
alice,20
all,8
along,1
aloud,1
am,1
among,2
an,2
and,40
another,2
answer,1
antipathies,1
any,2
anything,2
are,1
as,12
ask,2
asking,1
at,8
australia,1
away,1
bank,1
bat,2
bats,4
be,7
beds,1
been,1
before,4
began,3
begin,1
beginning,1
begun,2
behind,2
belong,1
bit,1
book,3
brave,1
bright,1
burning,1
but,16
by,5
came,3
carroll,1
cat,1
catch,1
cats,4
centre,1
chain,1
close,2
come,2
coming,1
considering,2
conversations,2
cool,1
corner,2
could,5
couldn,1
country,1
cupboards,2
curiosity,1
curtain,1
curtsey,1
curtseying,1
daisies,1
daisy,1
dark,3
day,1
dear,3
deep,2
delight,1
did,3
didn,2
dinah,5
dipped,1
disappointment,1
distance,1
do,8
door,3
doors,2
doorway,1
down,21
downward,1
dozing,1
dream,1
dreamy,1
drop,1
dry,1
earnestly,1
ears,1
earth,2
eat,5
ebook,1
either,5
else,1
empty,1
end,1
even,3
ever,3
every,1
except,1
eyes,1
fall,4
fallen,1
falling,2
fancy,1
fear,1
feel,1
feet,2
fell,3
felt,1
few,1
field,1
fifteen,1
filled,1
first,2
fitted,1
flashed,1
flowers,1
for,10
fortunately,1
found,3
fountains,1
four,1
from,3
funny,1
garden,1
get,6
getting,3
girl,1
glad,1
glass,1
go,1
going,1
golden,2
good,2
got,1
grand,1
great,2
gutenberg,2
had,12
hall,4
hand,2
hanging,1
happen,1
happened,1
have,2
having,1
head,2
heads,1
heap,1
hear,2
hedge,1
her,19
here,3
herself,5
high,1
hole,3
home,1
hope,1
hot,1
house,1
how,9
however,1
hung,1
hurried,1
hurrying,1
hurt,1
i,25
idea,1
if,4
ignorant,1
impossible,1
in,18
inches,1
indeed,1
into,4
is,3
it,40
its,1
itself,1
jar,2
jumped,1
just,3
key,3
killing,1
knelt,1
knew,1
know,2
knowledge,1
labelled,1
lamps,1
large,2
larger,1
late,2
lately,1
latitude,2
learnt,1
leaves,1
led,1
legged,1
lessons,1
let,1
lewis,1
like,5
likely,1
listen,1
listening,1
lit,1
little,5
ll,6
lock,1
locked,1
locks,1
long,2
longed,1
longer,1
longitude,2
look,2
looked,4
lost,1
loveliest,1
low,2
m,1
ma,1
made,2
make,1
making,1
manage,1
managed,1
many,2
maps,1
marmalade,1
matter,1
me,6
mice,1
middle,1
might,2
miles,2
milk,1
mind,2
miss,1
moment,4
mouse,1
much,4
must,1
my,4
name,1
natural,1
near,1
never,4
new,1
next,1
nice,1
night,1
no,7
nor,1
not,9
nothing,5
noticed,2
now,1
occurred,1
of,30
off,3
oh,4
on,7
once,2
one,6
only,1
open,1
opened,1
opportunity,1
or,9
orange,1
org,1
other,1
ought,1
out,9
over,3
overhead,1
own,1
passage,3
passed,1
past,1
peeped,1
pegs,1
people,1
perhaps,1
picking,1
pictures,3
pink,1
please,1
pleasure,1
plenty,1
pocket,2
poor,1
pop,1
practice,1
presently,1
project,1
put,2
question,1
quite,1
rabbit,8
ran,2
rat,1
rate,1
rather,2
re,1
reading,1
really,1
remarkable,1
remember,1
right,3
roof,1
round,2
row,1
s,6
sadly,1
said,1
saucer,1
saw,2
say,5
saying,2
schoolroom,1
second,1
see,7
seem,1
seemed,1
seen,2
several,1
shall,5
she,46
shelves,2
should,1
shoulders,1
showing,1
shut,1
side,1
sides,1
sight,1
sister,2
sitting,1
sleepy,2
slowly,1
small,2
so,7
solid,1
some,1
somebody,1
sometimes,1
somewhere,2
soon,1
sort,2
sound,1
spoke,1
stairs,1
started,1
sticks,1
still,2
stopping,1
straight,1
stupid,1
such,1
suddenly,5
t,4
table,1
take,1
talking,1
tea,1
telescope,1
tell,1
than,1
that,16
the,61
their,1
them,2
then,4
there,9
they,5
things,3
think,11
this,7
those,2
though,1
thought,6
thousand,1
three,1
through,4
thump,2
time,8
tiny,1
tired,1
to,47
too,3
took,2
top,1
tried,3
trouble,1
true,1
truth,1
trying,1
tumbling,1
tunnel,1
turned,2
twice,1
under,1
underneath,1
up,7
upon,4
use,2
ve,2
very,14
waistcoat,2
walk,1
walked,1
walking,1
wander,1
was,38
watch,2
way,6
well,5
went,5
were,7
what,7
when,6
whether,1
which,3
whiskers,1
white,2
why,1
wind,1
wish,2
with,7
without,2
wonder,5
wondered,1
wondering,1
wonderland,2
word,1
words,1
world,1
worth,1
would,6
wouldn,1
written,1
www,1
yes,1
you,12
zealand,1
